1.will   v.将；会；要
　　2.robot   n.机器人
　　3.everything   pron.每件事物
　　4.paper   n.纸;纸张
　　5.fewer   adj.(few的比较级)较少的;较少数
　　6.pollution   n.污染
　　7.tree   n.树;树木
　　8.building   n.建筑物;房屋
　　9.astronaut   n.宇航员，航天员
　　10.rocket   n.火箭
　　11.space   n.空间;太空
　　12.space station   空间站
　　13.fly   v.飞行
　　14.took   v.（take的过去式）
　　15.moon   n.月亮;月球
　　16.fall   v.落下;跌落;变为
　　17.fell   v.(fall的过去式)
　　18.fall in love with   爱上
　　19.parrot   n.鹦鹉
　　20.alone   adv.单独地;孤独地
　　21.pet   n.宠物
　　22.probably   adv.大概;或许
　　23.suit   n.一套衣服
　　24.able  adj.能;能够
　　25.be able to   能够……；得以……
　　26.dress   v.穿衣
　　27.casually   adv.非正式地；随意地
　　28.which   pron.哪个;哪几个
　　29.even   adv.甚至
　　30.The World Cup  世界杯
　　31.wrote   v.(write的过去式)
　　32.myself   pron.(反身代词)我自己;我本人
　　33.interview   n.面试;面谈
　　34.predict   v.预报；预言
　　35.future   n.将来;未来
　　36.prediction   n.预言；预测
　　37.came   v.(come的过去式)
　　38.come true   实现；达到
　　39.Sound   n.声音
　　40.Company   n.公司
　　41.Thought   v.(think的过去式)
　　42.strategy    n.策略；战略
　　43.Fiction   n.小说
　　44.unpleasant   adj.使人不愉快的
　　45.scientist   n.科学家
　　46.in the future   未来;将来
　　47.hundreds of   大量;许多
　　48.already   adv.早已;已经
　　49.made   v.(make的过去式)
　　50.factory   n.工厂
　　51.simple   adj.简单的;简易的
　　52.such   adj.这样的;这种
　　53.bored   adj.厌烦的；厌倦的
　　54.everywhere   adv.各地;到处
　　55.human   n.人;人类
　　56.shape   n.外形;形状
　　57.huge   n.巨大的;极大的
　　58.earthquake   n.地震
　　59.snake   n.蛇
　　60.possible   adj.可能的
　　61.electric   adj.电的;导电的
　　62.toothbrush   n.牙刷
　　63.seem    v.像是;似乎
　　64.impossible   adj.不可能的;不会发生的
　　65.housework   n.家务;家务事
　　66.rating   n.级别；等级
1.keep out   不让……进入
　　2.play   v.播放
　　3.argue   v.争论;争吵
　　4.wrong  adj.错误的;有毛病的;不合适的
　　5.style   n.风格
　　6.out of style   不时髦的，过时的
　　7.could    modal v. can的过去式；可以 应该 可能
　　8.What’s the matter   怎么了
　　9.call sb. up   打电话给……
　　10.ticket   n.票;入场券
　　11.surprise   v.使惊奇;使意外
　　12.on the phone  用电话交谈；在通话
　　13.pay for   付 帐；付买 的钱
　　14.part-time job   兼职工作
　　15.okay   adj.好的
　　16.either  adj.任一的;(两方中的)每一方的  adv.同样地(不…);也(不…)
　　17.bake   v.烤；烘
　　18.bake sale   面包或糕饼的售卖活动
　　19.tutor   n.家庭教师
　　20.original   adj.新颖的
　　21.the same as   与……同样的
　　22.in style   时髦的；流行的
　　23.haircut   n.理发；发型
　　24.except   prep.除;把--除外
　　25.upset   adj.心烦的，沮丧的
　　26.fail   v.失败
　　27.get on   相处；进展
　　28.return   v.归还；送回
　　29.football   n.足球
　　30.until   prep.到--为止
　　31.fit   v.适合;适应
　　32.fit…into… 找到时间（做某事）
　　33.as……as   possible 尽可能……
　　34.pressure   n.压力
　　35.complain   v.抱怨；控诉
　　36.include   v.包括;包含
　　37.pushy   adj.固执己见的；一意孤行的
　　38.push   v.推；推动；督促
　　39.send   v.派遣；打发；安排去
　　40.all kinds of   各种；许多
　　41.compare   v.比较
　　42.crazy   adj.疯狂的；狂热的
　　43.themselves   pron.(反身代词)他(她,它)们自己
　　44.adult   n.成年人
　　45.on the one hand   （在）一方面
　　46.organized   adj.有组织的
　　47.on the other hand  （在）另一方面
　　48.freedom   n.自由
1.UFO   abbr.不行飞行物；飞碟
　　2.barber   n.（为男子服务的）理发师
　　3.barber shop   理发店
　　4.bathroom    n.浴室
　　5.bedroom   n.卧室;寝室
　　6.kitchen   n.厨房
　　7.get out   出去；离开
　　8.cut   v.剪；切；割
　　9.alien   n.从另一个世界来的生物；外星人
　　10.bought   v.(buy的过去式)
　　11.land   v.着陆
　　12.got   v.(get的过去式)
　　13.take off   起飞
　　14.while   conj.当……的时候
　　15.experience   n.经历;体验
　　16.imagine   v.想象；设想
　　17.strange   adj.奇怪的;陌生的
　　18.follow   v.跟随;追随
　　19.amazing   adj.令人惊奇的
　　20.kid   v.开玩笑;戏弄;欺骗
　　21.scared   adj.恐惧的
　　22.climb   v.攀登;爬
　　23.jump   v.跳跃
　　24.shout   v.呼喊;呼叫
　　25.rode   v.(ride的过去式)
　　26.train station   火车站
　　27.ran   v.(run的过去式)
　　28.run away   逃跑；跑掉
　　29.anywhere   adv.任何地方
　　30.met   v.(meet的过去式)
　　31.come in   进来
　　32.happen   v.发生
　　33.accident   n.事故
　　34.Beijing International Airport   北京国际机场
　　35.plane   n.飞机
　　36.heard   v.(hear的过去式)
　　37.modern   adj.现代的;现代化的
　　38.kill   v.杀死;致死
　　39.Memphis  孟菲斯（美国一城市）
　　40.murder   v. and n.谋杀;凶杀
　　41.hear about   听说
